name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Health Fidelity,Health and Wellness,19264593,operating,USA,CA,San Mateo,1,2012-02-08,2015-01-09,2015-01-09
Sols,Curated Web,19253219,operating,USA,NY,New York,3,2003-01-01,2013-12-19,2015-02-27
Load DynamiX,Software,19250000,operating,USA,CA,Santa Clara,2,2010-01-01,2012-09-25,2014-05-21
"Moz, Inc.",SEO,19250000,operating,USA,WA,Seattle,2,2004-12-28,2007-09-01,2012-05-01
NearbyNow,Curated Web,19250000,acquired,USA,CA,Mountain View,3,,2006-06-20,2009-04-16
Salveo Specialty Pharmacy,Biotechnology,19250000,acquired,USA,FL,St. Petersburg,2,,2011-06-09,2011-10-10
Venustech,Security,19220000,operating,CHN,,Beijing,2,2002-01-01,2005-12-01,2008-02-01
Microtest Diagnostics,Testing,19219493,operating,GBR,,London,2,2011-02-01,2003-01-01,2012-01-01
ChatID,Mobile,19218000,operating,USA,NY,New York,4,,2011-07-01,2015-08-13
Viveve,Hardware + Software,19210000,operating,USA,CA,Sunnyvale,2,2011-02-20,2012-04-01,2015-05-27
Blue Pumpkin Software,Software,19200000,operating,USA,CA,Sunnyvale,1,2014-01-01,2011-07-24,2011-07-24
Firm58,Finance,19200000,operating,USA,IL,Chicago,3,2010-01-01,2007-04-04,2010-06-03
Hunch,Local,19200000,acquired,USA,NY,New York,3,2000-01-01,2007-11-01,2010-03-12
Trimble,Web Hosting,19200000,ipo,USA,CA,Sunnyvale,1,2011-01-01,2002-01-15,2002-01-15
XCOR Aerospace,Manufacturing,19200000,operating,USA,CA,Mojave,4,2013-01-01,2007-06-07,2014-05-27
ZettaCom,,19200000,acquired,USA,CA,Santa Clara,2,2012-03-01,2001-05-15,2003-07-09
ViXS Systems,Hardware + Software,19185226,operating,CAN,ON,Toronto,2,2010-01-01,2006-04-17,2013-06-03
gloStream,Health Care,19184620,operating,USA,MI,Bloomfield Hills,5,2004-01-01,2009-05-28,2013-04-02
Cornerstone Pharmaceuticals,Biotechnology,19179100,operating,USA,NJ,Cranbury,4,2008-05-22,2008-12-15,2014-03-07
Origami Inc.,E-Commerce,19177613,operating,JPN,,Tokyo,3,2012-03-12,2012-06-01,2015-04-01
Flyby Media,Mobile,19177200,operating,USA,NY,New York,7,2005-01-01,2010-05-26,2015-02-20
iHigh,Games,19150100,operating,USA,KY,Lexington,4,2007-01-01,2008-01-01,2012-05-30
Bridgevine,Advertising,19150000,operating,USA,FL,Vero Beach,5,,2004-01-01,2009-06-03
Abe's Market,E-Commerce,19148000,operating,USA,IL,Chicago,5,2011-01-01,2010-06-29,2014-02-07
Gymbox,Health and Wellness,19146472,operating,GBR,,London,2,2011-01-01,2010-04-21,2014-07-07
Moblyng,Games,19130000,closed,USA,CA,Redwood City,8,2010-01-01,2007-01-01,2011-03-03
Cureatr,Software,19125000,operating,USA,NY,New York,3,2011-01-01,2011-10-27,2015-06-25
Aligo,Mobile,19120000,operating,USA,CA,San Francisco,2,2011-08-01,2001-06-27,2006-06-22
BioGasol,Clean Technology,19102500,operating,DNK,,,1,2012-10-25,2012-11-12,2012-11-12
Cava Grill,Hospitality,19100000,operating,USA,MD,Rockville,2,2004-01-01,2013-09-13,2015-04-01
Klocwork,Software,19100000,operating,USA,MA,Burlington,2,2013-01-01,2003-01-10,2005-05-13
Nextance,Enterprise Software,19100000,operating,USA,TX,Austin,2,2006-01-01,2002-02-28,2006-05-03
Pica8,Software,19100000,operating,USA,CA,Palo Alto,2,2007-01-01,2012-12-10,2014-10-01
PlanGrid,Mobile,19100000,operating,USA,CA,San Francisco,2,2006-01-01,2012-05-29,2015-05-13
CSR,Hardware + Software,19074918,acquired,USA,CA,San Jose,2,2003-01-01,2000-09-01,2002-10-08
InfiniDB,Software,19069999,operating,USA,TX,Frisco,5,2014-03-28,2005-01-01,2014-02-10
Corbus Pharmaceuticals,Pharmaceuticals,19049982,operating,USA,MA,Cambridge,2,2006-01-01,2014-04-28,2014-12-08
Aviary,SaaS,19044025,acquired,USA,NY,New York,4,2013-07-01,2007-01-01,2013-12-20
Idle Gaming,Games,19027562,operating,USA,CA,San Francisco,2,2011-01-01,2011-02-08,2011-11-21
TransLattice,Public Transportation,19026410,operating,USA,CA,Santa Clara,2,,2008-08-05,2010-11-01
Risen Energy,Clean Technology,19024390,operating,CHN,,,1,2013-01-01,2008-08-01,2008-08-01
Vovici,Communities,19023247,acquired,USA,VA,Dulles,4,2007-01-01,2007-01-01,2010-04-27
Marathon Technologies,Software,19019986,acquired,USA,MA,Littleton,2,,2007-03-26,2009-08-05
Viacor,Health Care,19009671,closed,USA,MA,Wilmington,3,2011-05-01,2002-09-12,2010-11-10
Zolo Technologies,Manufacturing,19000008,operating,USA,CO,Boulder,3,2006-10-01,2005-07-15,2009-09-25
AdmitOne Security,Security,19000000,operating,USA,WA,Issaquah,2,2006-01-01,2005-11-09,2008-01-08
Brion Technologies,Semiconductors,19000000,acquired,USA,CA,Santa Clara,1,2008-02-01,2004-05-01,2004-05-01
Celona Technologies,Software,19000000,closed,GBR,,London,3,2007-06-01,2005-08-01,2010-02-02
Certeon,Software,19000000,closed,USA,MA,Burlington,2,,2007-07-16,2012-05-01
Children's Medical Center Dallas,Health Care,19000000,operating,USA,TX,Dallas,1,2004-01-01,2013-12-02,2013-12-02
Clarity Payment Solutions,Payments,19000000,acquired,USA,NY,New York,2,2012-01-01,2000-01-01,2000-01-01
Clicker,Video,19000000,acquired,USA,CA,Los Angeles,2,1997-01-01,2009-09-15,2010-02-18
ComparaOnline,Marketplaces,19000000,operating,CHL,,Santiago,3,2008-04-01,2012-05-13,2013-12-18
Conversica,Sales Automation,19000000,operating,USA,CA,Foster City,2,2013-01-01,2013-05-02,2015-08-01
Cure Forward,Hospitality,19000000,operating,USA,MA,Cambridge,2,2002-01-01,2015-06-18,2015-06-22
Delphinus Medical Technologies,Health Care,19000000,operating,USA,MI,Plymouth,2,2012-10-01,2010-07-21,2013-09-03
Enfora,Mobile,19000000,acquired,USA,TX,Richardson,1,,2006-10-23,2006-10-23
Event Source,Event Management,19000000,operating,USA,IL,Ohio,1,2014-01-01,2000-06-12,2000-06-12
eVestment,Analytics,19000000,operating,USA,GA,Marietta,1,2010-07-01,2010-11-18,2010-11-18
Exinda,Software,19000000,operating,USA,MT,Toston,3,2002-01-01,2004-05-22,2013-07-03
Extole,Internet Marketing,19000000,operating,USA,CA,San Francisco,2,2013-01-01,2013-12-10,2014-12-08
Fishbowl,Advertising,19000000,operating,USA,VA,Alexandria,2,2015-01-01,2007-04-20,2008-03-27
Ghostery,Internet,19000000,acquired,,,,3,2009-01-01,2009-01-01,2010-11-22
Iconixx Software,Software,19000000,operating,USA,TX,Austin,3,2006-01-01,2012-12-28,2015-08-18
India Property Online,E-Commerce,19000000,operating,IND,,Chennai,2,2007-01-01,2013-05-09,2013-12-19
ITM Software,Software,19000000,acquired,USA,CA,Santa Clara,3,2014-01-01,2003-11-07,2007-08-20
Jamdat Mobile,Curated Web,19000000,acquired,USA,CA,Los Angeles,3,,2001-03-01,2003-12-04
KIXEYE,Games,19000000,operating,USA,CA,San Francisco,2,2004-01-01,2008-11-18,2011-08-03
Kongregate,Games,19000000,acquired,USA,CA,San Francisco,4,2012-01-01,2007-03-01,2013-07-02
LifeShield Security,Security,19000000,acquired,USA,PA,Yardley,2,2014-04-01,2010-06-16,2011-07-20
Linden Lab,Games,19000000,operating,USA,CA,San Francisco,2,2006-11-01,2004-10-28,2006-03-01
Med-Tel International,Medical,19000000,operating,,,,1,2013-01-01,2003-03-17,2003-03-17
Mintigo,Predictive Analytics,19000000,operating,USA,CA,San Mateo,2,2013-06-01,2011-09-21,2013-10-17
Momenta Pharmaceuticals,Biotechnology,19000000,ipo,USA,MA,Cambridge,1,2012-10-01,2003-05-21,2003-05-21
OncoEthix,Biotechnology,19000000,acquired,CHE,,Lausanne,1,2008-11-20,2013-07-08,2013-07-08
Open Road Integrated Media,Advertising,19000000,operating,USA,NY,New York,2,,2011-05-23,2013-08-19
RSI (Reel Solar Inc),Clean Technology,19000000,operating,USA,CA,San Jose,2,2009-01-01,2011-11-30,2013-03-28
RuiYi,Biotechnology,19000000,operating,USA,CA,La Jolla,2,,2014-03-27,2014-06-11
Scodix,Hardware + Software,19000000,operating,ISR,,Rosh Ha'ayin,2,2010-04-01,2013-02-05,2013-07-28
SHYFT,Biotechnology,19000000,operating,,,,2,2002-01-01,2013-12-17,2014-04-07
Sierra Design Automation,Semiconductors,19000000,acquired,USA,CA,Santa Clara,2,2005-01-01,2003-02-01,2006-05-15
SoftSwitching Technologies,Hardware + Software,19000000,acquired,USA,WI,Middleton,2,,2002-03-20,2008-09-10
Strix Systems,Web Hosting,19000000,operating,USA,CA,Newbury Park,4,2012-08-15,2003-10-14,2008-01-01
Stylistpick,Fashion,19000000,operating,GBR,,London,2,2013-01-01,2011-04-12,2012-02-02
Tacoda,Advertising,19000000,acquired,USA,NY,New York,2,2014-10-01,2006-03-09,2007-02-09
TechTrader,Internet,19000000,operating,,,,1,1887-01-01,2000-06-16,2000-06-16
Teledata Networks,Telecommunications,19000000,acquired,NLD,,Amsterdam,1,2011-11-01,2005-03-22,2005-03-22
Tensorcom,Semiconductors,19000000,operating,USA,CA,Carlsbad,3,,2011-04-01,2014-04-22
Traxpay,Finance,19000000,acquired,DEU,,Frankfurt,2,2015-01-01,2012-06-26,2014-09-23
Vascular Pathways,Biotechnology,19000000,operating,USA,FL,Naples,2,2008-01-01,2010-11-01,2014-06-24
Vaultive,Security,19000000,operating,USA,MA,Boston,4,2010-01-01,2009-01-01,2015-01-20
Velomedix,Biotechnology,19000000,operating,USA,CA,Menlo Park,3,2010-01-01,2009-11-11,2012-02-08
ViajaNet,Travel,19000000,operating,BRA,,Sí£o Paulo,3,2013-06-08,2010-10-01,2013-06-01
WiNetworks,Mobile,19000000,closed,USA,NY,New York,2,2007-01-01,2006-08-18,2009-03-05
Xavier University,,19000000,operating,USA,OH,Cincinnati,1,2012-07-12,2014-10-23,2014-10-23
Second Genome,Biotechnology,18999999,operating,USA,CA,San Francisco,3,,2011-08-09,2013-06-05
Ascent Therapeutics,Biotechnology,18999997,operating,USA,MA,Cambridge,1,2010-01-01,2007-11-05,2007-11-05
Nortal AS,Software,18990800,operating,EST,,Tallinn,2,2012-03-01,2010-07-20,2013-05-31
UpdateLogic,Software,18973011,operating,USA,MA,Southborough,3,,2006-02-16,2013-01-03
SynergEyes,Health and Wellness,18962157,operating,USA,CA,Carlsbad,3,2009-05-01,2011-03-30,2015-01-16
Kapost,Software,18950000,operating,USA,CO,Boulder,6,2013-07-05,2010-08-01,2015-05-12
Quick Hit,Sports,18950000,closed,USA,MA,Foxboro,5,,2008-04-24,2011-04-13
Trada,Advertising,18950000,closed,USA,CO,Boulder,5,2003-01-01,2010-03-17,2014-04-01
Wave Crest Group,Finance,18929912,operating,GIB,,Gibraltar,3,2012-01-07,2010-04-06,2011-08-04
Kardia Health Systems,Information Technology,18916000,closed,USA,MN,Minneapolis,3,,2007-01-01,2009-08-20
Compact Power Equipment Centers,Construction,18910000,operating,USA,SC,Plum Branch,1,2003-01-01,2009-10-09,2009-10-09
MicroPower Technologies,Security,18909999,operating,USA,CA,San Diego,4,2006-01-01,2012-01-09,2015-05-29
Xpliant,Semiconductors,18905096,acquired,USA,CA,San Jose,2,2005-05-01,2012-07-13,2014-01-13
WISErg,Clean Technology,18900001,operating,USA,WA,Issaquah,4,1999-11-01,2012-05-18,2015-03-24
Backplane,Curated Web,18900000,operating,USA,CA,Palo Alto,3,,2011-08-16,2015-03-06
MedCPU,Health and Wellness,18900000,operating,USA,NY,New York,5,1984-01-01,2009-11-02,2015-07-14
TradAir,Finance,18900000,operating,ISR,,Tel Aviv,2,2002-01-01,2012-02-01,2015-01-12
Uni-Power Group,Finance,18885850,operating,CHN,,,2,1995-09-01,2008-04-01,2010-09-01
Flok,Mobile,18878570,operating,USA,NY,New York,3,2012-08-01,2012-01-01,2013-08-21
FullContact,Search,18868000,operating,USA,CO,Denver,4,,2011-08-01,2015-01-29
Skeleton Technologies,Manufacturing,18865204,operating,EST,,Tartu,3,2009-01-01,2013-04-01,2015-06-03
Keaton Row,Fashion,18853099,operating,USA,NY,New York,5,2010-01-01,2013-01-01,2015-06-17
Shocase,Internet,18835026,operating,USA,CA,San Francisco,5,2007-11-01,2014-01-01,2015-06-17
Philo,Television,18833000,operating,USA,MA,Cambridge,3,2006-04-01,2013-07-10,2015-06-15
Neul,Wireless,18829964,acquired,GBR,,Cambridge,3,,2011-06-29,2012-11-07
Artificial Solutions,Mobile,18826300,operating,ESP,,Barcelona,2,2009-01-01,2008-09-18,2013-06-25
Wavemark,Health Care,18818374,operating,USA,MA,Littleton,5,2003-01-01,2009-08-07,2012-03-07
Calypto Design Systems,EDA Tools,18813485,operating,USA,CA,San Jose,3,2000-06-01,2004-09-13,2011-02-04
aCommerce,E-Commerce,18800000,operating,THA,,Bangkok,3,,2013-12-19,2015-05-11
Concuity,Software,18800000,acquired,USA,IL,Vernon Hills,2,1998-01-01,2002-08-21,2006-04-26
Currensee,Finance,18800000,operating,USA,MA,Boston,4,2014-02-01,2009-10-01,2012-01-23
Exclusively,Fashion,18800000,acquired,USA,NY,New York,2,1998-09-01,2010-11-03,2011-05-29
NovaMed Pharmaceuticals,Health Care,18800000,acquired,CHN,,Shanghai,2,2010-01-01,2007-07-01,2008-01-01
Providence Medical Technology,Medical Devices,18800000,operating,USA,CA,Lafayette,2,1996-01-01,2014-03-31,2015-08-26
Sirific Wireless,Semiconductors,18800000,acquired,USA,TX,Richardson,1,1995-01-01,2007-02-12,2007-02-12
TakeLessons,Software,18800000,operating,USA,CA,San Diego,5,2006-01-01,2006-07-01,2014-03-25
Voxy,Education,18800000,operating,USA,NY,New York,5,1995-01-01,2010-02-17,2013-07-01
Casabi,Mobile,18799999,acquired,USA,CA,Campbell,3,2012-06-09,2005-12-19,2009-04-01
Helium,Hardware + Software,18775935,operating,USA,CA,San Francisco,2,2012-03-01,2013-11-01,2014-12-09
Sunfire,Clean Technology,18759371,operating,DEU,,Dresden,2,2014-06-20,2012-11-29,2014-02-25
doxo,E-Commerce,18750000,operating,USA,WA,Seattle,4,2014-01-01,2008-09-01,2013-12-23
RebelMouse,Social Media,18750000,operating,USA,NY,New York,3,2010-03-10,2012-10-26,2015-04-06
Sikka Software,Software,18750000,operating,USA,CA,Milpitas,3,2012-12-19,2012-09-06,2015-06-18
Vibrynt,Health Care,18750000,operating,USA,CA,Palo Alto,2,,2007-08-21,2012-05-22
Geothermal International,Clean Technology,18748565,operating,GBR,,Coventry,1,2010-01-01,2011-12-20,2011-12-20
Aircuity,Clean Technology,18745880,operating,USA,MA,Newton,4,,2008-09-30,2015-04-03
Draker,Clean Technology,18742845,operating,USA,VT,Burlington,8,,2008-08-11,2014-06-17
Integral Vision,Hardware + Software,18741270,operating,USA,MI,Wixom,3,2011-01-01,2011-11-30,2012-06-25
LucidMedia,Sales and Marketing,18734312,acquired,USA,VA,Reston,3,2012-06-01,2008-12-04,2011-06-20
Movea,Hardware + Software,18723700,acquired,FRA,,Grenoble,2,2014-06-01,2007-12-01,2012-08-01
Authentix,Security,18722511,operating,USA,TX,Addison,4,2014-02-01,2009-08-07,2012-08-30
Akella,Software,18705000,closed,RUS,,Moscow,2,2011-03-01,2005-11-01,2010-10-04
RECUPYL,Clean Technology,18705000,operating,,,,1,2014-07-23,2008-11-27,2008-11-27
JouleX,Enterprise Software,18700000,acquired,USA,GA,Atlanta,2,2013-07-20,2010-04-01,2011-06-10
Lyxia,Biotechnology,18700000,operating,USA,CA,Culver City,2,2011-01-15,2013-06-30,2014-09-01
MyEdu,Colleges,18700000,acquired,USA,TX,Austin,3,2014-09-04,2009-01-01,2011-10-24
Stitcher,Mobile,18700000,acquired,USA,CA,San Francisco,3,2012-01-01,2008-01-01,2011-09-21
Unreal Brands,Hospitality,18689487,operating,USA,MA,Boston,3,2014-02-01,2012-06-24,2013-11-26
SchemaLogic,Enterprise Software,18687288,acquired,USA,WA,Kirkland,3,,2005-01-17,2010-04-20
NuGEN Technologies,Biotechnology,18679995,operating,USA,CA,San Carlos,4,2013-09-01,2003-08-20,2014-09-26
Triventus,Consulting,18679648,operating,SWE,,Falkenberg,1,2002-06-09,2011-06-03,2011-06-03
Ascension Orthopedics,Biotechnology,18664050,acquired,USA,TX,Austin,1,2011-03-11,2011-07-20,2011-07-20
Kiip,Advertising,18659963,operating,USA,CA,San Francisco,6,2004-01-01,2010-10-28,2014-11-19
EXTRABANCA,Finance,18657000,operating,ITA,,Milan,1,2013-01-01,2012-05-30,2012-05-30
FusionOps,Subscription Businesses,18656544,operating,USA,CA,Sunnyvale,5,2001-01-01,2001-01-01,2015-03-26
VidSys,Software,18650000,operating,USA,MA,Marlborough,3,2013-10-10,2007-05-21,2013-07-25
Midokura,Cloud Computing,18643106,operating,JPN,,Tokyo,3,2008-02-01,2011-04-13,2014-10-03
Arrayent,Software,18638309,operating,USA,CA,Redwood City,4,1986-01-01,2009-12-01,2014-11-26
Chango,Advertising,18628333,acquired,CAN,ON,Toronto,4,2009-01-01,2010-06-30,2012-11-21
Nire iHealth,mHealth,18621745,operating,ESP,,Bilbao,2,1982-02-01,2014-03-03,2015-05-29
Buy Auto Parts,Manufacturing,18600000,operating,USA,CA,San Diego,1,,2014-01-21,2014-01-21
Duda,Curated Web,18600000,operating,USA,CA,Palo Alto,3,2014-05-07,2010-01-01,2013-04-08
GameLogic,Games,18600000,operating,USA,MA,Waltham,1,2014-11-14,2006-02-08,2006-02-08
iVantage Health Analytics,Analytics,18600000,operating,USA,ME,Portland,2,2010-01-01,2011-08-29,2013-06-07
Kingsoft Network Science,Software,18600000,operating,CHN,,Beijing,1,2014-12-29,2011-07-01,2011-07-01
Tile,Mobile,18600000,operating,USA,CA,San Mateo,2,2001-01-01,2013-07-24,2014-11-17
MATINAS BIOPHARMA,Biotechnology,18593751,operating,USA,FL,Tarpon Springs,3,1885-01-01,2013-05-17,2015-04-13
innRoad,Software,18561214,operating,USA,NY,New York,7,,2009-01-01,2015-03-10
Inuk Networks,Television,18560000,acquired,GBR,,Abercynon,2,2015-04-15,2006-01-01,2008-05-02
SmartZip,Marketing Automation,18550000,operating,USA,CA,Pleasanton,3,2008-01-01,2009-03-10,2014-07-23
Zmags,Publishing,18549997,acquired,USA,MA,Boston,6,2011-01-01,2008-05-29,2014-01-21
Digby,Android,18533749,acquired,USA,TX,Austin,5,1996-01-01,2007-08-13,2012-03-27
Agilence,Security,18527468,operating,USA,NJ,Mount Laurel,7,2008-01-01,2008-11-18,2015-03-11
ASOCS,Mobile,18522536,operating,ISR,,Rosh Ha'ayin,5,,2005-08-24,2011-11-03
Tenex Health,Health and Wellness,18518224,operating,USA,CA,Lake Forest,3,2014-12-01,2010-03-12,2011-12-21
Vantos,Enterprise Software,18508487,operating,USA,WA,Seattle,4,,2005-07-22,2011-07-28
Vital Access,Health Care,18507451,operating,USA,UT,Salt Lake City,4,2013-05-01,2010-11-12,2015-05-28
FluGen,Biotechnology,18505332,operating,USA,WI,Madison,3,2011-06-01,2011-10-06,2015-08-25
European Batteries,Manufacturing,18503220,operating,FIN,,Espoo,1,2015-01-01,2011-01-19,2011-01-19
Apalya,Mobile,18500000,operating,IND,,Hyderabad,3,2013-10-01,2009-10-01,2012-12-01
Atrum Coal,Enterprises,18500000,operating,,,,1,2014-02-06,2013-11-04,2013-11-04
Betable,Games,18500000,operating,GBR,,London,2,2013-11-25,2012-07-09,2013-11-05
Crystallize,,18500000,operating,USA,MI,Ann Arbor,1,2007-01-01,2001-09-25,2001-09-25
DealsAndYou,Group Buying,18500000,operating,IND,,Gurgaon,2,,2010-08-01,2011-11-01
DestinationRX,Health Care,18500000,acquired,USA,CA,Los Angeles,1,1991-01-01,2008-01-23,2008-01-23
Efreightsolutions Holdings,Software,18500000,operating,USA,GA,Kennesaw,3,2000-01-01,2012-05-17,2015-06-19
eShakti.com,Design,18500000,operating,USA,WA,Sammamish,2,2002-01-01,2011-05-01,2014-09-10
EssentialMarkets Inc,,18500000,operating,USA,WA,Tacoma,1,2012-08-01,2000-06-12,2000-06-12
FlexLight Networks,Optical Communications,18500000,operating,USA,GA,Kennesaw,2,,2002-07-29,2003-07-18
Foundation Radiology Group,Biotechnology,18500000,operating,USA,PA,Pittsburgh,3,2011-01-01,2009-04-13,2014-06-30
Mederi Therapeutics,Biotechnology,18500000,operating,USA,CT,Greenwich,2,2013-09-01,2013-12-23,2013-12-23
MoPub,Mobile Advertising,18500000,acquired,USA,CA,San Francisco,4,2014-01-01,2010-09-01,2012-09-20
Niti Surgical Solutions,Biotechnology,18500000,operating,ISR,,Netanya,1,2009-06-24,2009-08-11,2009-08-11
Palamida,Security,18500000,operating,USA,CA,San Francisco,3,2011-01-01,2005-02-15,2008-05-27
Pinger,Messaging,18500000,operating,USA,CA,San Jose,3,,2005-12-01,2012-02-23
Reflex Systems,Virtualization,18500000,operating,USA,GA,Atlanta,2,2013-01-01,2009-04-17,2011-05-27
SignStorey,News,18500000,acquired,USA,CT,Fairfield,1,2008-01-15,2005-01-01,2005-01-01
StumbleUpon,Curated Web,18500000,acquired,USA,CA,San Francisco,4,2008-11-01,2001-01-01,2011-03-09
Sun Catalytix,Clean Technology,18500000,acquired,USA,MA,Cambridge,4,2012-01-01,2009-11-23,2013-07-10
Swiggy,Food Processing,18500000,operating,IND,,Bangalore,2,,2015-04-03,2015-06-09
Tier 3,Enterprise Software,18500000,acquired,USA,WA,Bellevue,2,,2011-03-09,2012-10-04
TytoCare,Health Care,18500000,operating,ISR,,Netanya,3,2005-01-01,2012-07-01,2015-07-14
VeriWave,Mobile,18500000,acquired,USA,OR,Beaverton,2,,2005-06-15,2006-07-21
Video Blocks,Video Editing,18500000,operating,USA,VA,Reston,2,2012-06-04,2012-09-06,2015-06-03
Visual Edge Technology,Hardware + Software,18500000,operating,USA,CT,North Canton,1,,2005-09-12,2005-09-12
Yieldex,Advertising,18500000,acquired,USA,NY,New York,3,,2009-02-18,2011-09-28
Zimplistic,Consumer Electronics,18500000,operating,SGP,,Singapore,3,,2010-12-01,2015-07-20
ezCater,Restaurants,18490000,operating,USA,MA,Boston,4,2007-01-01,2011-10-05,2015-03-23
Glue Networks,Enterprise Software,18466599,operating,USA,CA,Sacramento,3,2013-01-01,2011-03-03,2013-12-18
Pitzi,Mobile,18458821,operating,BRA,,Sí£o Paulo,3,2011-05-04,2012-08-13,2015-04-14
Nitric Bio,Biotechnology,18458739,closed,USA,PA,Bristol,4,2012-06-07,2006-03-31,2012-01-20
STYLEPIT,Fashion,18451025,ipo,DNK,,Copenhagen,1,,2012-11-16,2012-11-16
Salesfusion,Software,18450000,operating,USA,GA,Atlanta,5,2011-02-18,2013-03-07,2015-03-05
Triggit,Advertising,18450000,acquired,USA,CA,San Francisco,5,2008-03-18,2007-03-01,2013-05-16
Cinedigm,Games,18442000,ipo,USA,NJ,Morristown,4,,2010-07-29,2013-10-30
Bacterioscan,Biotechnology,18420305,operating,USA,MO,St Louis,4,2013-07-01,2013-05-20,2015-08-07
Sala International,Consulting,18418000,operating,GBR,,,1,2013-05-16,2011-01-19,2011-01-19
Canatu,Carbon,18414560,operating,FIN,,Helsinki,2,2011-09-11,2010-09-30,2013-03-13
MSI Methylation Sciences,Biotechnology,18400033,operating,CAN,BC,Burnaby,2,2012-05-01,2011-09-29,2015-03-24
Bay Microsystems,Web Hosting,18400000,operating,USA,CA,San Jose,2,,2003-11-21,2005-06-01
BET Information Systems,Software,18400000,operating,USA,MA,Boston,3,,2013-10-30,2015-07-27
Captus Networks,,18400000,operating,,,,2,,2002-02-22,2003-10-02
KidZui,Curated Web,18400000,acquired,USA,CA,San Diego,6,2012-05-01,2006-09-01,2011-12-14
NeRRe Therapeutics,Health Care,18400000,operating,GBR,,,1,2011-09-22,2012-12-19,2012-12-19
Searchmetrics,SEO,18400000,operating,DEU,,Berlin,4,2012-08-01,2010-01-29,2014-11-10
SensorTran,Energy,18400000,operating,USA,TX,Austin,4,2010-04-01,2006-08-10,2010-11-19
Venaxis,Medical Devices,18400000,operating,USA,CO,Castle Rock,1,2012-01-01,2014-04-09,2014-04-09
Vox Mobile,Messaging,18400000,operating,USA,OH,Independence,3,2010-06-01,2012-05-16,2015-06-18
Provade,Enterprise Software,18384392,acquired,USA,CA,San Mateo,5,2014-07-01,2006-01-23,2010-08-11
X2 Biosystems,Health Care,18373021,operating,USA,WA,Seattle,8,2013-10-15,2011-05-17,2015-04-16
Validic,Apps,18358500,operating,USA,NC,Durham,5,2005-01-01,2011-08-15,2015-04-28
PLASTIQ,E-Commerce,18349996,operating,USA,CA,San Francisco,3,2014-01-02,2012-05-11,2014-07-15
HBCS,Biotechnology,18336720,operating,USA,DE,New Castle,1,2011-06-20,2009-10-14,2009-10-14
Ionix Medical,Biotechnology,18333503,operating,USA,MN,Maple Grove,1,,2009-09-20,2009-09-20
Secure64,Software,18316556,operating,USA,CO,Greenwood Village,4,2006-01-01,2008-03-09,2014-02-06
CADRE,Real Estate,18300000,operating,USA,NY,New York,1,2010-01-01,2015-03-24,2015-03-24
Elevenia,E-Commerce,18300000,operating,,,,1,2015-05-19,2015-03-12,2015-03-12
Meetup,Communities,18300000,operating,USA,NY,New York,5,2013-02-12,2002-12-01,2014-02-19
Microland,Analytics,18300000,operating,IND,,Bangalore,2,2009-01-04,2005-01-14,2006-08-09
Nimble,Risk Management,18300000,operating,AUS,,Southport,2,2009-09-14,2013-08-14,2014-06-25
Virobay,Biotechnology,18300000,ipo,USA,CA,Menlo Park,3,1974-11-20,2010-01-14,2014-07-16
Cloudant,Enterprise Software,18250000,acquired,USA,MA,Boston,8,2015-01-01,2008-05-01,2013-05-14
Interlude,Product Development Services,18250000,operating,USA,NY,New York,3,2013-01-01,2011-02-01,2013-10-23
TeachScape,Software,18250000,operating,USA,CA,San Francisco,1,2008-01-09,2009-08-25,2009-08-25
TriLumina Corp.,Semiconductors,18250000,operating,USA,NM,Albuquerque,4,,2010-10-01,2015-02-03
Trovix,Search,18250000,acquired,USA,CA,Mountain View,2,2012-01-01,2005-12-07,2006-09-06
Velocify,Software,18250000,operating,USA,CA,El Segundo,2,2010-10-12,2007-10-12,2012-02-03
Trendy Entertainment,Games,18238879,operating,USA,FL,Gainesville,1,2011-06-01,2012-07-31,2012-07-31
Beijing Infinite World,Games,18237232,operating,,,,2,,2011-12-01,2014-02-01
FiscalNote,Enterprises,18231500,operating,USA,DC,Washington,6,2006-01-01,2013-06-01,2015-02-02
Sigma Pharmaceuticals,Biotechnology,18215562,operating,,,,1,,2009-09-23,2009-09-23
BullionVault,Peer-to-Peer,18202647,operating,,,,1,2011-01-01,2010-06-01,2010-06-01
ChipWrights,Video,18200000,acquired,USA,MA,Newton,1,2012-09-01,2003-04-17,2003-04-17
Meerkat,Video Streaming,18200000,operating,USA,CA,San Francisco,4,2014-01-01,2013-01-01,2015-03-27
Rewalk Robotics,Medical Devices,18200000,ipo,DEU,,Berlin,2,2012-01-01,2013-06-17,2013-09-29
Futura Medical,Health and Wellness,18183017,operating,GBR,,Guildford,1,2011-03-01,2014-03-11,2014-03-11
NightstaRx,Biotechnology,18183017,operating,GBR,,,1,2012-09-01,2014-02-04,2014-02-04
Coco Communications,Public Relations,18182786,operating,GBR,,London,4,2007-01-01,2011-01-26,2015-02-16
Novaliq,Biotechnology,18142280,operating,DEU,,Heidelberg,1,1999-01-01,2013-04-13,2013-04-13
Populis,Digital Media,18141250,operating,IRL,,Dublin,1,,2008-07-01,2008-07-01
